id;product_name;image_url;price;discount;description
1;Multi-channelled Licensed;grey Cambridgeshire;59241;46676;HDD
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;24102;44015;Rubber Buckinghamshire Games
3;incentivize Tuna copy;Costa Rica Mayotte;18485;3131;synthesizing Views e-enable
4;Credit Card Account National Awesome;Aruba;96117;32533;scale interactive generating
5;Specialist Home Loan Account;Plastic;80219;16526;Industrial
6;index orange;Jewelery;19884;70685;application quantify Unbranded Plastic Tuna
7;Internal;Investment Account archive Fantastic Plastic Chicken;32518;66592;New York tangible Mississippi
8;Frozen bus;hard drive Robust Networked;4043;52273;partnerships Grocery Intelligent
9;Dynamic;knowledge base Buckinghamshire;90756;13933;Investment Account
10;override User-centric;Money Market Account;69478;16122;Web virtual deposit
